GroupID	SampleID	PC1	PC2
CP1	TB47R	21.591434	3.2219039
CP1	SN032	21.6075819	3.1952945
CP1	SN060	21.6075819	3.1952945
CP1	SN043	21.6091536	3.1955466
CP1	SN019	21.6107256	3.1957987
CP1	SN082	21.6122975	3.1960508
CP1	KP054	22.3243737	3.0903867
CP1	KP065	22.3405216	3.0637774
CP1	OM352	24.7054651	3.6261256
CP1	SN066	24.7054651	3.6261256
CP1	SN072	24.7054651	3.6261256
CP1	SN083	24.7054651	3.6261256
CP1	SN093	24.7054651	3.6261256
CP1	SN099	24.7054651	3.6261256
CP1	SN003	24.7072622	3.6264117
CP2	SN097	-3.2881364	4.6945091
CP2	KP004	-0.8574692	5.7624108
CP2	KP001	-0.8557294	5.783477
CP2	SN103	0.8988855	2.4728721
CP2	SN079	0.8998562	2.5151479
CP2	SN109	0.8998562	2.5151479
CP2	SN076	0.9138537	2.3947038
CP2	SN091	1.6583119	0.278288
CP2	KP027	4.7133056	2.0498916
CP2	KP073	4.7874292	1.7200853
CP2	KP062	5.5694035	2.460623
CP2	SN111	5.8729825	1.6757762
CP2	SN107	6.0848831	2.5192779
CP2	KP059	6.277142	0.7771959
CP2	SN064	6.3687084	0.6289868
CP2	KP030	6.7653097	0.6034366
CP2	BB085	6.8604675	1.1226558
CP2	SN078	7.9939903	1.4383959
CP3	SN022	-7.3648998	-19.9412423
CP3	SN035	-7.3648998	-19.9412423
CP3	SN044	-7.3648998	-19.9412423
CP3	SN095	-7.3648998	-19.9412423
CP3	SN038	-7.3627571	-19.9349505
CP3	SN039	-7.3627571	-19.9349505
CP3	SN048	-7.3627571	-19.9349505
CP3	SN052	-7.3627571	-19.9349505
CP3	SN057	-7.3627571	-19.9349505
CP3	SN058	-7.3627571	-19.9349505
CP3	SN061	-7.3627571	-19.9349505
CP3	SN084	-7.3627571	-19.9349505
CP3	SN085	-7.3627571	-19.9349505
CP3	SN092	-7.3627571	-19.9349505
CP3	SN105	-7.3627571	-19.9349505
CP3	SN117	-7.3627571	-19.9349505
CP3	BB052	-7.3370506	-19.8594666
CP3	BB068	-7.3370506	-19.8594666
CP3	BB069	-7.3370506	-19.8594666
CP3	BB082	-7.3370506	-19.8594666
CP4	SN075	-13.1796851	13.983972
CP4	SN102	-13.1787288	13.9828722
CP4	SN030	-13.1777703	13.9817693
CP4	SN031	-13.1777703	13.9817693
CP4	SN042	-13.1777703	13.9817693
CP4	SN062	-13.1777703	13.9817693
CP4	SN077	-13.1777703	13.9817693
CP4	SN081	-13.1777703	13.9817693
CP4	SN086	-13.1777703	13.9817693
CP4	SN096	-13.1777703	13.9817693
CP4	SN106	-13.1777703	13.9817693
CP4	SN108	-13.1777703	13.9817693
CP4	SN116	-13.1777703	13.9817693
CP4	TB55R	-13.1777703	13.9817693
CP4	SN101	-13.1460478	13.9421223
CP4	SN063	-13.036375	13.8549118
CP4	SN016	-12.3649953	12.2573638
CP4	SN015	-12.3642803	12.2597335
CP4	SN071	-10.4131119	12.2886303
CP4	SN046	-10.4123546	12.287661
CP4	SN047	-10.4123546	12.287661
CP4	SN074	-10.4123546	12.287661
CP4	SN098	-10.4123546	12.287661
CP4	SN114	-10.4123546	12.287661
NML	BB059	8.279258	-8.536122
NML	BB084	12.7883013	-2.8661065
NML	BB080	15.1647957	-4.1147717
